device_name,compute_capability,dtype,q_heads,kv_heads,head_dim,batch_size,seq_len,page_size,num_splits,sm_margin,contiguous_median_us,paged_identity_median_us,paged_shuffled_median_us,paged_identity_overhead_pct,paged_shuffled_overhead_pct,contiguous_tokens_per_sec,paged_identity_tokens_per_sec,paged_shuffled_tokens_per_sec,all_layouts_present,identity_correctness_passed,shuffled_correctness_passed,identity_max_abs_diff,shuffled_max_abs_diff
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,1,1024,16,0,0,77.95199751853943,79.93599772453308,79.29600030183792,2.5451563387093312,1.7241415564480445,12828.407633328045,12510.00836251639,12610.976546024125,True,True,True,0.0009765625,0.0009765625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,1,1024,128,0,0,77.72800326347351,79.45600152015686,79.55200225114822,2.2231347572714277,2.34664330883676,12865.376158066407,12585.581716521618,12570.393851847599,True,True,True,0.0009765625,0.0009765625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,1,2048,16,0,0,77.82399654388428,78.97599786520004,79.66400310397148,1.480264921457941,2.3643177449125696,12849.507149586036,12662.074896563474,12552.720940910727,True,True,True,0.00048828125,0.00048828125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,1,2048,128,0,0,77.31200009584427,79.48800176382065,78.84799689054489,2.814571690395762,1.9867508184970406,12934.602632971499,12580.515018747834,12682.630370282946,True,True,True,0.00048828125,0.00048828125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,1,4096,16,0,0,77.31200009584427,79.48800176382065,79.32800054550171,2.814571690395762,2.6076164724210926,12934.602632971499,12580.515018747834,12605.889384876284,True,True,True,0.00048828125,0.00048828125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,1,4096,128,0,0,77.69600301980972,79.1039988398552,79.0719985961914,1.812185653471099,1.770999180010402,12870.67495280337,12641.585945920184,12646.701964709997,True,True,True,0.00048828125,0.00048828125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,1,8192,16,0,0,77.82399654388428,79.9039974808693,79.9039974808693,2.672698691093456,2.672698691093456,12849.507149586036,12515.018416186515,12515.018416186515,True,True,True,0.000244140625,0.000244140625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,1,8192,128,0,0,77.37600058317184,79.52000200748444,79.45600152015686,2.770886848833687,2.68817323370083,12923.903955530695,12575.452398830168,12585.581716521618,True,True,True,0.000244140625,0.000244140625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,1,16384,16,0,0,87.55200356245041,87.16800063848495,88.0960002541542,-0.43859981307171614,0.621341225293337,11421.783160983918,11472.099769126708,11351.25314560288,True,True,True,0.000244140625,0.000244140625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,1,16384,128,0,0,87.2960016131401,87.61599659919739,87.48800307512283,0.36656316457124305,0.2199430196512253,11455.27838069363,11413.440910505611,11430.138588731254,True,True,True,0.000244140625,0.000244140625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,1,32768,16,0,0,109.82400178909302,109.18399691581726,110.04800349473953,-0.5827550106076385,0.20396425371267402,9105.477707144644,9158.851372431596,9086.94359046506,True,True,True,0.0001220703125,0.0001220703125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,1,32768,128,0,0,109.95200276374817,109.8560020327568,109.96800288558006,-0.08731148917554554,0.014551914862592774,9094.877536234437,9102.825348603352,9093.554249961999,True,True,True,0.0001220703125,0.0001220703125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,2,1024,16,0,0,77.60000228881836,79.03999835252762,79.42400127649307,1.8556649758201704,2.3505140900460297,25773.19511610616,25303.64425211355,25181.304994160942,True,True,True,0.0009765625,0.0009765625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,2,1024,128,0,0,77.34400033950806,79.74400371313095,79.0719985961914,3.103024621286554,2.234172332822393,25858.50216204011,25080.25565401443,25293.403929419994,True,True,True,0.0009765625,0.0009765625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,2,2048,16,0,0,77.34400033950806,79.18399944901466,79.48800176382065,2.3789810475664197,2.7720332733002007,25858.50216204011,25257.62797934662,25161.030037495668,True,True,True,0.0009765625,0.0009765625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,2,2048,128,0,0,77.504001557827,79.3600007891655,79.19999957084656,2.3947140715743664,2.1882715458945157,25805.11921707381,25201.612652617903,25252.52538935869,True,True,True,0.00048828125,0.00048828125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,2,4096,16,0,0,77.34400033950806,79.45600152015686,79.55200225114822,2.730659354801923,2.8547811102968,25858.50216204011,25171.163433043235,25140.787703695198,True,True,True,0.00048828125,0.00048828125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,2,4096,128,0,0,77.7600035071373,80.03199845552444,79.39200103282928,2.9218040713933524,2.0987621554597657,25720.163449020776,24990.004480663374,25191.45473072259,True,True,True,0.00048828125,0.00048828125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,2,8192,16,0,0,86.14400029182434,86.40000224113464,86.75199747085571,0.29717908205222354,0.7057916708902434,23216.939000101367,23148.147547706998,23054.224205867984,True,True,True,0.000244140625,0.000244140625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,2,8192,128,0,0,86.33600175380707,86.27200126647949,86.11200004816055,-0.07412954738172939,-0.25945341583604176,23165.30716471137,23182.492241281634,23225.566690838023,True,True,True,0.000244140625,0.000244140625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,2,16384,16,0,0,108.51199924945831,108.09600353240967,108.99200290441513,-0.3833637937978751,0.4423507614612632,18431.14138374871,18502.07162747098,18349.97015105759,True,True,True,0.000244140625,0.000244140625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,2,16384,128,0,0,108.25599730014801,107.744000852108,108.41599851846695,-0.4729497310162478,0.1477989416838632,18474.72703479741,18562.518415714374,18447.46188136921,True,True,True,0.000244140625,0.000244140625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,2,32768,16,0,0,152.70400047302246,151.99999511241913,153.43999862670898,-0.461026141045795,0.4819769956298847,13097.233823637325,13157.895159936032,13034.410961288057,True,True,True,0.0001220703125,0.0001220703125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,2,32768,128,0,0,153.03999930620193,152.0639955997467,152.96000242233276,-0.6377441916361026,-0.052271879398735344,13068.478888309497,13152.357282944704,13075.313600465739,True,True,True,0.0001220703125,0.0001220703125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,4,1024,16,0,0,77.37600058317184,79.42400127649307,79.16799932718277,2.6468164261343796,2.3159619656028863,51695.61582212278,50362.609988321885,50525.46526367224,True,True,True,0.0009765625,0.0009765625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,4,1024,128,0,0,77.40800082683563,79.29600030183792,79.39200103282928,2.4390236859698877,2.5630428183152976,51674.24500405505,50443.9061840965,50382.90946144518,True,True,True,0.0009765625,0.0009765625
